Dia adalah teman yang baik	He is a good friend
Saya suka kopi dan teh	I love coffee and tea
Dia berada di rumah	He was at home
Saya pergi dengan teman-teman	I went with friends
Ini buku yang saya suka	Here's a book I like
Saya pergi untuk berbelanja	I went for shopping
Dia berasal dari Jakarta	He is from Jakarta
Dia tinggal dalam rumah besar	He lives in a big house
Itu buku kesukaanku	That's my favorite book
Saya tidak suka hujan	I don't like rain
Kucing tidur pada kursi	Cat sleeping on a chair
Di meja ada buku baru	There is a new book on the table
Dia akan pergi besok	He will leave tomorrow
Saya dapat membantu kamu	I can help you
Dia berlari bagai angin	He runs like the wind
Saya juga suka kopi	I also love coffee
Dia adalah teman baikku	He is my best friend
Dia pergi ke pasar	He went to the market
Kamu bisa membantu saya	You can help me
Buku itu ditulis oleh Anisa	The book was written by Anisa
Dia pulang karena hujan	He went home because it was raining
Dia telah pergi ke pasar	He has gone to the market
Kamu mau teh atau kopi	You want tea or coffee
Dia lebih pintar dari saya	He's smarter than me
Saya suka makan nasi	I like to eat rice
Bagi saya, itu penting	For me, it's important
Mereka pergi ke pasar	They went to the market
Saya sudah makan siang	I've already had lunch
Kita pergi ke taman hari ini	We went to the park today
Coba cara baru untuk belajar	Try new ways to learn
Dia memiliki banyak teman	He has many friends
Saat hujan turun, saya pulang	When it rains, I go home
Apa yang anda lakukan?	What are you doing?
Saya belum makan siang	I haven't had lunch yet
Kita harus pergi sekarang	We have to go now
Dia bermain seperti anak kecil	He plays like a child
Saya suka kopi, tetapi teh lebih enak	I like coffee, but tea is better
Kami pergi ke pasar	We went to the market
Saya tahu bahwa dia pergi	I know that he left
Saya memberi buku kepada dia	I gave the book to him
Dia suka bermain bola	He likes to play soccer
Ia pergi ke sekolah	He went to school
Jika hujan, kita tinggal di rumah	If it rains, we stay at home
Apa yang kamu lakukan?	What are you doing?
Semua orang pergi ke pasar	Everyone goes to the market
Aku suka makan nasi	I like to eat rice
Dia sedang membaca buku	He is reading a book
Saya berbicara tentang buku	I'm talking about the book
Kalau hujan, kita tinggal di rumah	When it rains, we stay at home
Dia berdiri antara dua pohon	He stood between two trees
Ini bukan buku saya	This is not my book
Tiap orang punya cerita unik	Everyone has a unique story
Mungkin kita pergi besok	Maybe we go tomorrow
Ketika hujan, saya di rumah	When it rains, I'm at home
Saya pernah ke Bali	I've been to Bali
Saya sedang belajar sekarang	I'm studying now
Saya tinggal di sini sejak 2020	I've been living here since 2020
Dia pergi tanpa izin	He left without permission
Dia adalah teman paling baik	She is the best friend
Jangan lupa membawa payung	Don't forget to bring an umbrella
Dia sering pergi ke pasar	He often goes to the market
Mana kunci mobilku?	Where are my car keys?
Kamu suka makan nasi?	Do you like to eat rice?
Mereka memiliki impian masing-masing	They have their own dreams
Bolehkah saya pinjam buku?	Can I borrow a book?
Dia datang, ya	He's coming, yes
Selamat ulang tahun, teman!	Happy birthday, friend!
Siapa yang datang hari ini	Who came today
Dia sang juara lomba tersebut	He is the champion of the competition
Kalian sudah makan belum?	Have you eaten yet?
Mohon bantu saya sebentar	Please help me for a moment
Lebih baik belajar daripada bermain	Better to learn than play
Sila duduk di sini	Please sit here
Berapa harga buku ini	How much does this book cost
Mengapa kamu tidak datang?	Why didn't you come?
Tolong bantu saya, ya	Please help me, yes
Kenapa kamu terlambat datang	Why are you coming late
Kapan kita pergi ke sana	When do we go there
Mari kita pergi bersama	Let's go together
Iya, saya mengerti sekarang	Yes, I understand now
Ayo kita pergi ke pasar	Let's go to the market
Saya jadi bingung sekarang	I'm so confused now
Dia sebut namaku dengan jelas	He said my name clearly
Orang itu sedang berjalan cepat	That person is walking fast
Kata itu sulit dipahami	The word is difficult to understand
Barang ini laku di pasaran	This item sells well in the market
Dia memilih jalan lain	He chose another path
Dia sudah tinggal di sini dua tahun	He has lived here for two years
Dia pergi ke pasar lalu pulang	He went to the market and then came back
Saya punya satu buku	I have one book
Dia orang yang baik	He's a good person
Buku ini berguna untuk belajar	This book is useful for learning
Saya suka pekerjaan ini	I like this job
Dia menunggu hingga malam	He waited until night
Saya punya dua kucing	I have two cats
Itu adalah buku milik saya	It's a book that belongs to me
Mobil itu berwarna merah besar	The car was a big red color
Buat kue untuk ulang tahun	Make a cake for birthday
Dia punya rupa yang menarik	She has an attractive appearance
Tolong beri saya buku	Please give me a book
Dia hanya ingin bermain	He just wants to play
Saya berjalan di jalan itu	I walked on that path
Saya dan dia sama	Me and him are the same
Hal ini sangat penting untuk kita	This is very important for us
Dia punya mobil baru	He has a new car
Hari ini cuacanya panas sekali	It's so hot today
Hari ini cuaca sangat cerah	It's very sunny today
Dia masih di rumah	He's still at home
Rumah itu cukup nyaman	The house is quite cozy
Saya pergi ke pasar kali ini	I went to the market this time
Dia hadap ke arah matahari	He faces the direction of the sun
Cinta diri itu penting	Self-love is important
Dia ingin pergi, namun sibuk	He wanted to go, but was busy
Dia tinggal di sini lama	He's lived here a long time
Dia tak mau pergi	He doesn't want to leave
Saya akan sampai nanti	I'll get to you later
Dia masuk ke dalam rumah	He entered the house
Waktu berjalan cepat hari ini	Time is running fast today
Lihat bintang di langit	See the stars in the sky
Kamu salah mengerti maksudku	You misunderstood what I meant
Saya hanya ingin makan saja	I just want to eat
Buku itu di atas meja	The book on the table
Akhir minggu ini ada acara	This weekend there is an event
Anak itu sedang bermain bola	The boy is playing ball
Saya membeli beberapa buku baru	I bought some new books
Saya tahu jawabannya	I know the answer
Saya suka makan buah segar	I like to eat fresh fruit
Harga barang tersebut naik drastis	The price of the item rose dramatically
Dia ajar saya matematika	He taught me math
Saya mau makan nasi	I want to eat rice
Saya bangun pagi ini	I woke up this morning
Kue ini punya rasa unik	This cake has a unique flavor
Kota itu ramai setiap hari	The city was bustling every day
Dia turut membantu temannya	He helped his friend
Ini tempat yang nyaman	It's a cozy place
Saya lapar lagi	I'm hungry again
Saya mula belajar bahasa Indonesia	I started learning Indonesian
Saya ingin temu kamu	I want to meet you
Tentu saya akan membantu	Of course I will help
Dia bermain di luar rumah	He plays outside the house
Hasilnya nyata dan memuaskan	The results are real and satisfying
Dia pergi ke sekolah pagi	She goes to school in the morning
Hidup itu penuh warna	Life is colorful
Saya tetap berusaha keras	I keep trying hard
Kita perlu membeli makanan baru	We need to buy new food
Pohon itu sangat tinggi	The tree is very tall
Dia belajar agar sukses	He learned to be successful
Pernyataan itu jelas dan tepat	The statement is clear and precise
Siswa itu belajar dengan giat	The student studies hard
Suatu saat kita akan bertemu	One day we will meet
Kamu benar tentang itu	You're right about that
Dunia ini penuh warna-warni	The world is colorful
Saya ingin makan es krim	I want to eat ice cream
Saya harap kamu datang	I hope you come
Dia punya tiga kucing	She has three cats
Dasar pengetahuan yang kuat	Strong knowledge base
Saya cari buku itu	I'm looking for that book
Kucing itu sudah tua	The cat is old
Dia kembali ke rumah	He returned home
Kita harus menyelesaikan masalah ini	We must solve this problem
Fokus utama kita adalah pendidikan	Our main focus is education
Saya kurang tidur tadi malam	I didn't sleep well last night
Tolong bantu saya, ya	Please help me, yes
Kegiatan itu untuk umum	The activity is for the public
Dia datang ke rumahku	He came to my house
Saya butuh uang untuk beli	I need money to buy
Saya minum air dingin	I drink cold water
Nama saya Andi	My name is Andi
Saya terima hadiah itu	I accept the gift
Bulan purnama terlihat indah	The full moon looks beautiful
Saya punya buku baru	I have a new book
