He lives in a big house	Dia tinggal dalam rumah besar
There is a new book on the table	Di meja ada buku baru
He is my best friend	Dia adalah teman baikku
He has gone to the market	Dia telah pergi ke pasar
You want tea or coffee	Kamu mau teh atau kopi
I like to eat rice	Saya suka makan nasi
For me, it's important	Bagi saya, itu penting
I've already had lunch	Saya sudah makan siang
He has many friends	Dia memiliki banyak teman
I haven't had lunch yet	Saya belum makan siang
I like coffee, but tea is better	Saya suka kopi, tetapi teh lebih enak
What are you doing?	Apa yang kamu lakukan?
This is not my book	Ini bukan buku saya
He left without permission	Dia pergi tanpa izin
Don't forget to bring an umbrella	Jangan lupa membawa payung
Where are my car keys?	Mana kunci mobilku?
Who came today	Siapa yang datang hari ini
He is the champion of the competition	Dia sang juara lomba tersebut
How much does this book cost	Berapa harga buku ini
Let's go together	Mari kita pergi bersama
Yes, I understand now	Iya, saya mengerti sekarang
Let's go to the market	Ayo kita pergi ke pasar
He chose another path	Dia memilih jalan lain
I have one book	Saya punya satu buku
I have two cats	Saya punya dua kucing
Me and him are the same	Saya dan dia sama
This is very important for us	Hal ini sangat penting untuk kita
He has a new car	Dia punya mobil baru
It's very sunny today	Hari ini cuaca sangat cerah
He's still at home	Dia masih di rumah
Self-love is important	Cinta diri itu penting
I bought some new books	Saya membeli beberapa buku baru
I like to eat fresh fruit	Saya suka makan buah segar
The price of the item rose dramatically	Harga barang tersebut naik drastis
It's a cozy place	Ini tempat yang nyaman
I started learning Indonesian	Saya mula belajar bahasa Indonesia
Of course I will help	Tentu saya akan membantu
She goes to school in the morning	Dia pergi ke sekolah pagi
One day we will meet	Suatu saat kita akan bertemu
The world is colorful	Dunia ini penuh warna-warni
She has three cats	Dia punya tiga kucing
We must solve this problem	Kita harus menyelesaikan masalah ini
Our main focus is education	Fokus utama kita adalah pendidikan
Please help me, yes	Tolong bantu saya, ya
I drink cold water	Saya minum air dingin
My name is Andi	Nama saya Andi
I accept the gift	Saya terima hadiah itu
I have a new book	Saya punya buku baru
Police caught the thief earlier	Polisi menangkap pencuri tadi
He sells fresh fruit	Dia jual buah segar
Health is very important	Kesehatan itu sangat penting
I went to the market	Saya pergi ke pasar
I live in Jakarta	Saya tinggal di Jakarta
This food is very healthy	Makanan ini sangat sehat
I know him from school	Saya kenal dia dari sekolah
He stood in front of the house	Dia berdiri di depan rumah
He will definitely come tomorrow	Dia pasti datang besok
Our teacher teaches patiently	Guru kami mengajar dengan sabar
Today is a new beginning	Hari ini adalah awal baru
Please take the book	Tolong ambil buku itu
Let me ask you something	Aku ingin tanya sesuatu
The car was red in color	Mobil itu berwarna merah
I think it's a great idea	Aku pikir itu ide bagus
He raised his left hand	Dia mengangkat tangan kirinya
My home is far from here	Rumahku jauh dari sini
This road is very long	Jalan ini sangat panjang
The child has a small ball	Anak itu punya bola kecil
He lives in the west of the city	Dia tinggal di barat kota
I read a new book	Saya membaca buku baru
This room is very comfortable	Kamar ini sangat nyaman
I like reading books	Saya suka baca buku
I went to the office	Saya pergi ke kantor
I have four books	Saya punya empat buku
Sunrise from the east	Matahari terbit dari timur
The weather is cool tonight	Malam ini cuacanya sejuk
The woman reading a book	Wanita itu membaca buku
The flower has a red color	Bunga itu memiliki warna merah
Wait a little longer	Tunggu sedikit lagi ya
He lives in the south of the city	Dia tinggal di selatan kota
I like learning in class	Saya suka belajar di kelas
The doctor helps his patient	Dokter itu membantu pasiennya
I have five apples	Saya punya lima apel
Please give me your phone number	Tolong berikan nomor teleponmu
The ticket costs one thousand rupiah	Biaya tiketnya seribu rupiah
I have to pay the electricity bill	Saya harus bayar tagihan listrik
I love that new movie	Saya suka film baru itu
My car keys are missing	Kunci mobil saya hilang
I love nature photos	Saya suka foto alam
I love playing in the sea	Saya suka bermain di laut
The city is located in the north	Kota itu terletak di utara
I forgot my phone at home	Saya lupa telepon di rumah
I want to repeat that song	Saya ingin ulang lagu itu
I went to the market yesterday	Saya pergi ke pasar kemarin
He almost arrived late	Dia hampir terlambat datang
This shirt is cheap and good	Baju ini murah dan bagus
My wife cooks delicious food	Istriku memasak makanan enak
The airplane was flying high	Pesawat itu terbang tinggi
The man is walking fast	Pria itu sedang berjalan cepat
The rainy season is here again	Musim hujan datang lagi
I live on the island	Saya tinggal di pulau itu
Earth rotates in its orbit	Bumi berputar di orbitnya
He stopped there	Dia berhenti di sana
The fish is very fresh	Ikan itu sangat segar
Wait for me for a moment	Tunggu saya sebentar ya
The forest is full of life	Hutan itu penuh dengan kehidupan
The building was newly built	Gedung itu baru dibangun
I want to drink water	Saya ingin minum air
Our meeting is on Monday	Pertemuan kita hari Senin
Our meeting is on Wednesday	Pertemuan kita hari Rabu
Push the door slowly	Dorong pintu itu pelan-pelan
I love morning coffee	Saya suka kopi pagi
I have a meeting on Thursday	Saya ada rapat Kamis
Our meeting on Tuesday	Pertemuan kita pada Selasa
I like listening to music	Saya suka mendengarkan musik
He arrived on time	Dia tiba tepat waktu
