Choose the book which inspires you	Escolha o livro que te inspira
This is my favorite book	Este é o meu livro favorito
She found comfort in music	Ela encontrou conforto na música
It's going to rain today	Vai chover hoje
There is a new cafe nearby	Há um café novo por perto
I can help you today	Posso ajudar você hoje
This is my favorite book	Este é o meu livro favorito
She has a new car	Ela tem um carro novo
Would you like tea or coffee?	Você gostaria de chá ou café?
I enjoy reading mystery novels	Eu gosto de ler romances de mistério
This gift is for you	Este presente é para você
I gave them the keys	Eu lhes dei as chaves
She already left the house	Ela já saiu de casa
I learned how to cook	Eu aprendi a cozinhar
Many people enjoy summer festivals	Muitas pessoas gostam de festivais de verão
I haven't finished yet	Ainda não terminei
She must be very tired	Ela deve estar muito cansada
Fruits such as apples are healthy	Frutas como maçãs são saudáveis
I wanted to go, but couldn’t	Eu queria ir, mas não pude
They gave us great advice	Eles nos deram ótimos conselhos
It looks like rain today	Parece que vai chover hoje
What are you doing now	O que você está fazendo agora
All of us are ready	Todos nós estamos prontos
She prefers a medium roast	Ela prefere um café de torra média
I am not feeling well	Eu não estou me sentindo bem
This may be your chance	Esta pode ser a sua chance
Have you ever been there?	Você já esteve lá?
She left without saying goodbye	Ela saiu sem se despedir
She likes pizza the most	Ela gosta mais de pizza
I don't like spicy food	Eu não gosto de comida apimentada
This is where we met	Aqui é onde nos conhecemos
Each student received a gift	Cada aluno recebeu um presente
Congratulations on your promotion	Parabéns pela sua promoção
Who is coming to dinner?	Quem vem jantar?
The cat chased the mouse	O gato perseguiu o rato
How much does this cost?	Quanto custa isso?
Let's go for a walk	Vamos dar um passeio
Yes, I will help you	Sim, eu vou te ajudar
Let's go grab some coffee	Vamos tomar um café
She prefers the other option	Ela prefere a outra opção
She is the chosen one	Ela é a escolhida
Both cats love to play	Ambos os gatos adoram brincar
I need to finish work	Preciso terminar o trabalho
I have two cats today	Eu tenho dois gatos hoje
Photo courtesy of National Geographic	Foto cortesia da National Geographic
Artists create beautiful masterpieces	Artistas criam belas obras-primas
You look like my friend	Você parece com meu amigo
She picked fresh wild berries	Ela colheu frutas silvestres frescas
Children played happily on street	Crianças brincaram felizes na rua
We wore the same shirt	Usamos a mesma camisa
I bought a new book	Comprei um livro novo
She smiled all day long	Ela sorriu o dia todo
I am still waiting here	Ainda estou esperando aqui
I've visited there three times	Eu visitei lá três vezes
She needs time for self reflection	Ela precisa de tempo para autorreflexão
